index,Open,high,close,low,supply,eth_daily_tx,google_trend,eth_rolling_beta,market_cap,volume,btc_open,btc_high,btc_low,btc_close,btc_volume,sp500,nasdaq,dow30,vix,gold,crude_oil,nikkei225,ftse100,sse,eurostoxx,eth_return,btc_return
Open,1.0,0.9999653286096398,0.9999421460101067,0.9999437514142784,0.7153585060174408,0.8681048870112099,0.776036893171247,0.22923045609718104,0.9995692932640898,0.1687691684691654,0.9373562165926206,0.9373664648588808,0.9372917504431661,0.9373139280355851,0.07647346760811302,0.9048991893932695,0.9029591427326472,0.9010367898650565,0.2053787121607564,0.8042327823477805,0.6649101736659562,0.8955238714430892,0.5752902861120628,0.5318264098489052,0.8565051075918559,-0.004033868164894284,-0.0159187529557886
high,0.9999653286096398,1.0,0.999966101423081,0.9999152029109366,0.7148300892022099,0.8684942980238378,0.777332953844419,0.22975458844156688,0.9995629653089669,0.17183028196598926,0.9372688457291706,0.9373084520460746,0.9372077346000146,0.9372520818519373,0.07901374576345893,0.9045579820522208,0.9027316243341982,0.9007168803269727,0.20577195807639054,0.8038292609166665,0.6645596135334715,0.8951695481950878,0.5746362235968527,0.5324991776506555,0.8562101943646699,0.00018140786796685198,-0.012673337722252074
close,0.9999421460101067,0.999966101423081,1.0,0.9999552866709012,0.7153494473115874,0.8681156221104636,0.7760831182765724,0.22914703363231745,0.9996251087094696,0.16859898613693175,0.9373424489149611,0.9373786833482747,0.9373100541312849,0.9373521599462268,0.07623822289800082,0.904902123803871,0.9029708921608939,0.9010408200682836,0.2052807504425212,0.8042328294304325,0.6648696416673205,0.8955200430133416,0.5752766372959979,0.5318504327169338,0.8565172121122105,0.0039026415443940907,-0.009530509067902674
low,0.9999437514142784,0.9999152029109366,0.9999552866709012,1.0,0.7159857726003803,0.8676588838882394,0.7745739262868656,0.22860755776845337,0.9996178201694277,0.16509039867654793,0.9374376608553499,0.9374514770957654,0.937416864202039,0.9374281107124219,0.07328521603256193,0.9053079454965419,0.9032411884665826,0.9014205332788355,0.2049104687674469,0.8047083231664753,0.6653293085434143,0.8959025938424187,0.5760203239727182,0.5310644692900662,0.8568290604609744,0.0005062920704168298,-0.012161672534412922
supply,0.7153585060174408,0.7148300892022099,0.7153494473115874,0.7159857726003803,1.0,0.6737451228523804,0.48617284659810084,0.2719882868876166,0.7231972820551757,0.16464782205531206,0.7405473846078795,0.7402359513758524,0.740911536404817,0.7405422629627972,0.12414303318425814,0.7959248306440865,0.7589749354180395,0.7870327059707883,0.41947972794760635,0.7672547053936648,0.7519321814611581,0.7801202983798531,0.43646255206826273,0.19050705883537286,0.6809459531417704,-0.0055652600643532535,-0.015222218482884253
eth_daily_tx,0.8681048870112099,0.8684942980238378,0.8681156221104636,0.8676588838882394,0.6737451228523804,1.0,0.7354623905927066,0.3025450527463593,0.8713816918775903,0.2803116251344237,0.9185175231081724,0.9187019963462603,0.9182803091651038,0.9185037477175709,0.14652448050641081,0.87318020212215,0.8957474821293951,0.8658765187358584,0.38984641475301335,0.8218259672712634,0.45974041459408027,0.8522716604558801,0.39579461198357085,0.5874819057224218,0.7386940144997016,0.004393958113374961,-0.011579982667493483
google_trend,0.776036893171247,0.777332953844419,0.7760831182765724,0.7745739262868656,0.48617284659810084,0.7354623905927066,1.0,0.18116600015624287,0.7689652242567729,0.47972501491688535,0.6819023729033185,0.6826000551738012,0.6810864545836014,0.6818955177839519,0.3590104362873215,0.5785310966563267,0.5935830764384639,0.5820794322148264,0.22568825478665908,0.4858559417610065,0.46702420927338173,0.5976979610190578,0.27467656329965245,0.6623259859461216,0.5795761650117728,0.012129602101251684,-0.0009178260533513464
eth_rolling_beta,0.22923045609718104,0.22975458844156688,0.22914703363231745,0.22860755776845337,0.2719882868876166,0.3025450527463593,0.18116600015624287,1.0,0.2312438727591521,0.17962537858767233,0.2561590687897237,0.255720951430236,0.25650923621329913,0.2560436326004226,-0.04927871942878367,0.3013294244742833,0.30133482402105266,0.30523176143598374,0.31526341144929504,0.24193033732822297,0.17682510671295948,0.27204313207131486,0.12735798665153275,0.07225263982551429,0.1685031126543996,-0.006606097839394814,-0.02110490795514614
market_cap,0.9995692932640898,0.9995629653089669,0.9996251087094696,0.9996178201694277,0.7231972820551757,0.8713816918775903,0.7689652242567729,0.2312438727591521,1.0,0.16636566536482147,0.9402929819786628,0.940321573318038,0.9402703251928581,0.9403032107313608,0.07490551827397932,0.9097164092517701,0.9076286205147713,0.9051722517263004,0.21500817059716315,0.8111097915338986,0.6651992033547659,0.8977622783691744,0.5729432050831622,0.5267204504433856,0.8555146670030304,0.0038689474482069925,-0.009729837133940697
volume,0.1687691684691654,0.17183028196598926,0.16859898613693175,0.16509039867654793,0.16464782205531206,0.2803116251344237,0.47972501491688535,0.17962537858767233,0.16636566536482147,1.0,0.14848107616243297,0.15021337016367958,0.1463085918102256,0.1482973001232095,0.773776781437443,0.08890912908214699,0.10367039061727341,0.09355497646370539,0.24767718340623968,0.05566290333262503,0.09018779872560005,0.08671654787424418,-0.07345141799734672,0.25164069495238656,0.06153163432551437,-0.004666260566348309,-0.013598581838327645
